"LAName","NbAcc","TotBikeSince2006","RatioBikeSince2006","RatioAcc","sort"
"Warrington",15,10592,0.0522545633941786,7.40009866798224e-05,"Bikeability"
"Solihull",6,11136,0.0538231029482842,2.89995166747221e-05,"Bikeability"
"Durham",11,18329,0.0764983305509182,4.59098497495826e-05,"Bikeability"
"Oldham",8,8729,0.0843381642512077,7.72946859903382e-05,"Bikeability"
"South Tyneside",17,13077,0.0850813272608979,0.00011060507482108,"Bikeability"
"Stockton on Tees",9,7206,0.0863097376931369,0.000107797340998922,"Bikeability"
"Barnsley",12,7606,0.0936111555550086,0.0001476904899632,"Bikeability"
"Rutland",0,1411,0.0375265957446808,0,"Accidents"
"Rochdale",2,9359,0.0442087860179499,9.44733112895607e-06,"Accidents"
"Bury",2,2996,0.0161858454889249,1.08049702863317e-05,"Accidents"
"Newcastle upon Tyne",5,11715,0.0418094218415418,1.78443968593862e-05,"Accidents"
"Cornwall and Isles of Scilly",11,0,0,2.02354672553348e-05,"Accidents"
"Wiltshire",10,13162,0.0277503689647902,2.10837022981236e-05,"Accidents"
"Buckinghamshire",16,17928,0.023695479777954,2.1147237642083e-05,"Accidents"
"Isle of Wight",3,300,0.00216763005780347,2.16763005780347e-05,"Accidents"
"Sheffield",12,10595,0.0192007973903588,2.17470097861544e-05,"Accidents"
"Devon",25,11394,0.0100325790261513,2.20128555076164e-05,"Accidents"
"Walsall",6,2764,0.010237037037037,2.22222222222222e-05,"Accidents"
"Torbay",3,3094,0.023618320610687,2.29007633587786e-05,"Accidents"
"Shropshire",11,7059,0.0148955475838785,2.32116480270099e-05,"Accidents"
"Northumberland",8,11990,0.0379430379746835,2.53164556962025e-05,"Accidents"
"West Berkshire",4,4343,0.0282012987012987,2.5974025974026e-05,"Accidents"
"London",219,0,0,2.63855421686747e-05,"Accidents"
"Milton Keynes",7,4095,0.0164590032154341,2.81350482315113e-05,"Accidents"
"Dudley",9,9565,0.030529843600383,2.872646026173e-05,"Accidents"
"East Sussex",23,7607,0.00950637340664834,2.87428142964259e-05,"Accidents"
"Solihull",6,11136,0.0538231029482842,2.89995166747221e-05,"Accidents"
"Brighton and Hove",8,5296,0.0193708851499634,2.92611558156547e-05,"Accidents"
"North Somerset",6,2321,0.0114617283950617,2.96296296296296e-05,"Accidents"
"Derbyshire",23,0,0,2.97349709114415e-05,"Accidents"
"Medway",8,4293,0.016006711409396,2.98284862043251e-05,"Accidents"
"Gateshead",6,6020,0.0300699300699301,2.997002997003e-05,"Accidents"
"Somerset",16,3923,0.0073879472693032,3.01318267419962e-05,"Accidents"
"Central Bedfordshire",8,3911,0.0148143939393939,3.03030303030303e-05,"Accidents"
"Staffordshire",34,34913,0.031788218155331,3.09569334425931e-05,"Accidents"
"Plymouth",8,6056,0.0236009353078722,3.11769290724864e-05,"Accidents"
"Stockport",9,4566,0.0161171902576774,3.1768443346276e-05,"Accidents"
"Bolton",9,8171,0.0295195086705202,3.2514450867052e-05,"Accidents"
"Hartlepool",3,1783,0.0193593919652552,3.25732899022801e-05,"Accidents"
"Kirklees",14,4093,0.00967612293144208,3.3096926713948e-05,"Accidents"
"Worcestershire",19,8963,0.0158217122683142,3.35392762577229e-05,"Accidents"
